Time (ms),y target (mm),y tip (mm)
6722,-0.09757049,-0.07859373
6747,-0.07264911,-0.08086707
6773,-0.03234182,-0.08379454
6797,0.02924506,-0.08767686
6822,0.0676228,-0.08841322
6847,0.0676228,-0.08841322
6872,0.0922513,-0.08634663
6897,0.09423763,-0.08304033
6922,0.09423763,-0.08304033
6947,0.06190539,-0.07575983
6972,0.03171613,-0.07228126
6997,-0.005002913,-0.06980305
7022,-0.06276089,-0.0662908
7047,-0.09447562,-0.06431943
7072,-0.09447562,-0.06431943
7097,-0.1665955,-0.05915841
7122,-0.2030837,-0.05317785
7147,-0.1944385,-0.05318271
7172,-0.1944385,-0.05318271
7197,-0.1683753,-0.05536298
7222,-0.1368545,-0.06313596
7247,-0.08754048,-0.06907159
7272,-0.03558924,-0.07437463
7297,0.01381896,-0.07827672
7322,0.01381896,-0.07827672
7347,0.05852821,-0.07948542
7372,0.05852821,-0.07948542
7397,0.07710887,-0.07874032
7422,0.0755735,-0.07742041
7447,0.06188599,-0.07624689
7472,0.0391214,-0.07445101
7497,-0.003479005,-0.07120478
7522,-0.04293476,-0.06811766
7547,-0.1028517,-0.0630429
7572,-0.1452703,-0.05937744
7597,-0.1452703,-0.05937744
7622,-0.1956769,-0.05316344
7647,-0.1984968,-0.05368226
7672,-0.1760425,-0.05673485
7697,-0.1760425,-0.05673485
7722,-0.1413312,-0.06530869
7747,-0.09926891,-0.06935438
7774,-0.05012367,-0.07309084
7798,-0.05012367,-0.07309084
7823,-0.002070614,-0.0751687
7848,0.03108725,-0.07694026
7873,0.06305467,-0.07845166
7898,0.07758228,-0.07914346
7923,0.07758228,-0.07914346
7948,0.07018303,-0.07760018
7973,0.04126584,-0.07462204
7998,-0.006366049,-0.07082713
8023,-0.006366049,-0.07082713
8049,-0.06617147,-0.06807696
8074,-0.1332003,-0.06602924
8099,-0.1796096,-0.06511769
8124,-0.2144988,-0.06445516
8149,-0.2144988,-0.06445516
8174,-0.2070624,-0.0641749
8199,-0.1614444,-0.06473857
8224,-0.1277561,-0.06591464
8249,-0.09003744,-0.06755725
8274,-0.0513027,-0.06980497
8299,-0.0513027,-0.06980497
8324,4.216004E-05,-0.07374566
8349,0.03228439,-0.07776279
8374,0.06612749,-0.08036997
8399,0.08507632,-0.08044337
8424,0.08880819,-0.07877237
8449,0.08880819,-0.07877237
8474,0.07492404,-0.07502797
8499,0.05021652,-0.07082413
8524,0.01357392,-0.06687846
8549,-0.04625306,-0.06152357
8574,-0.1131624,-0.05378944
8599,-0.1131624,-0.05378944
8624,-0.1758704,-0.05116531
8649,-0.2056992,-0.0507389
8674,-0.2017972,-0.0529641
8699,-0.1719897,-0.05758673
8724,-0.144619,-0.06472129
8749,-0.1091613,-0.06874565
8774,-0.1091613,-0.06874565
8799,-0.03146081,-0.07398575
8824,0.005248018,-0.07552566
8849,0.005248018,-0.07552566
8874,0.04709475,-0.07769018
8899,0.07980172,-0.07812019
8924,0.09246617,-0.07832899
8949,0.09452123,-0.07756375
8974,0.08106087,-0.07414815
8999,0.08106087,-0.07414815
