Time (ms),y target (mm),y tip (mm)
13610,-0.2296815,-0.1389057
13660,-0.2298308,-0.14556
13710,-0.22943,-0.1489763
13760,-0.2300456,-0.1496973
13810,-0.2279297,-0.1475071
13860,-0.2261981,-0.1482525
13960,-0.03820676,-0.1409707
14010,0.01008739,-0.1405988
14060,0.05895177,-0.1407204
14110,0.06435187,-0.1405144
14160,0.06772269,-0.1312172
14210,0.0732046,-0.1242085
14260,0.07354467,-0.1147882
14310,0.07669952,-0.108728
14360,0.07796627,-0.1058001
14410,0.08391983,-0.09801193
14460,0.09116437,-0.08864402
14510,0.09366951,-0.08170999
14560,0.09609665,-0.07753794
14610,0.09787738,-0.06464548
14660,0.1014769,-0.05310007
14710,0.1024707,-0.0473486
14760,0.1059095,-0.04021346
14810,0.106603,-0.02652932
14860,0.1080209,-0.02070523
14960,0.1107239,-0.03218253
15010,0.1097537,-0.03095951
15060,0.1071301,-0.03188878
15110,0.107169,-0.03088499
15160,0.09313459,-0.03091295
15260,-0.1541194,-0.03099351
15310,-0.1919739,-0.03089334
15360,-0.1955963,-0.0309513
15410,-0.2020209,-0.03244329
15460,-0.2136541,-0.03787966
15510,-0.2237019,-0.04948866
15560,-0.2204286,-0.05356726
15610,-0.2208857,-0.0592478
15660,-0.2189788,-0.06601276
15710,-0.2202731,-0.07644095
15760,-0.2178139,-0.08972516
15810,-0.2169996,-0.0990044
15860,-0.2158499,-0.1020495
15910,-0.2154833,-0.1095399
15960,-0.216689,-0.1167227
16010,-0.217014,-0.1202151
16060,-0.2189847,-0.1304667
16110,-0.2196124,-0.1364581
16160,-0.2200703,-0.1422022
16210,-0.2215015,-0.1462783
16260,-0.2219881,-0.147144
16310,-0.2222326,-0.1461875
16360,-0.2218824,-0.1456911
16410,-0.2131659,-0.1469978
16460,-0.171022,-0.1498455
16510,-0.02873774,-0.1469981
16560,0.03934785,-0.1469207
16610,0.07373078,-0.1471632
16660,0.08405376,-0.1465334
16710,0.09065178,-0.1438203
16760,0.09546408,-0.1403112
16810,0.1017369,-0.1329321
16860,0.1002872,-0.1298335
16910,0.09830693,-0.1256237
16960,0.0961266,-0.1190542
17010,0.1006056,-0.110605
17060,0.1027991,-0.1055963
17110,0.1105205,-0.09624151
17160,0.1144396,-0.09135089
17210,0.1202438,-0.08098989
17260,0.1244686,-0.0701208
17310,0.1262708,-0.06286024
17360,0.1297215,-0.05001896
17410,0.129009,-0.0391839
17460,0.128755,-0.0320784
17510,0.1278152,-0.03099642
17560,0.122668,-0.03189043
17610,0.1204242,-0.03193494
17660,0.1053266,-0.0305353
17710,0.07100576,-0.0310152
17810,-0.1520403,-0.03088908
17860,-0.1873161,-0.03088986
17910,-0.1840264,-0.03407115
17960,-0.2040931,-0.04440596
18010,-0.1995592,-0.05208572
18060,-0.2048754,-0.05462245
18110,-0.2025146,-0.06023335
18160,-0.2031603,-0.06523806
18210,-0.2042612,-0.07676683
