Time (ms),y target (mm),y tip (mm)
9884,0.03883845,-0.1021977
9909,0.04259735,-0.09987549
9934,0.04672703,-0.0975209
9959,0.0488506,-0.09680899
9984,0.05632994,-0.09462468
10009,0.06245484,-0.0919399
10034,0.06245484,-0.0919399
10059,0.06850506,-0.08790118
10084,0.07360742,-0.08421981
10109,0.0790403,-0.08025475
10134,0.08549617,-0.07524153
10159,0.09257588,-0.07123687
10184,0.09257588,-0.07123687
10209,0.1008,-0.06775245
10234,0.107533,-0.06375629
10259,0.1125753,-0.05957767
10284,0.1194223,-0.05202759
10309,0.1242534,-0.04530061
10334,0.1242534,-0.04530061
10363,0.1300971,-0.03639194
10387,0.1300971,-0.03639194
10412,0.1355418,-0.02949426
10437,0.1421246,-0.02201495
10462,0.1448104,-0.01721477
10487,0.1457018,-0.01278329
10512,0.1457018,-0.01278329
10537,0.1438892,-0.00853724
10564,0.1398158,-0.0063035
10588,0.1398158,-0.0063035
10613,0.1265385,-0.005499454
10638,0.1186187,-0.005432638
10663,0.1119248,-0.005409511
10688,0.1119248,-0.005409511
10713,0.1025565,-0.005637371
10738,0.09363988,-0.005344805
10763,0.0770805,-0.01411769
10788,0.0770805,-0.01411769
10813,0.05024874,-0.03035545
10838,0.06219342,-0.0103491
10863,0.06658395,0.001303166
10888,0.03022531,-0.02874101
10913,0.08992742,0.03751244
10938,0.03449652,-0.007109812
10964,0.03449652,-0.007109812
10989,0.02659235,-0.008385827
11013,0.06030573,0.0264861
11440,-0.07487144,-0.02289345
11465,-0.07487144,-0.02289345
11490,-0.06823566,-0.01218979
11515,-0.07011909,-0.009674862
11540,-0.09297971,-0.02427786
11565,-0.09297971,-0.02427786
11590,-0.09905924,-0.02648249
11615,-0.04818972,0.02602224
11640,-0.04818972,0.02602224
11665,-0.1119361,-0.0369506
11690,-0.1200272,-0.04253029
11715,-0.1200272,-0.04253029
11740,-0.1266222,-0.04355321
11765,-0.1316363,-0.04257521
11791,-0.1397624,-0.0394934
11815,-0.1397624,-0.0394934
11840,-0.1525331,-0.04619642
11865,-0.1525331,-0.04619642
11891,-0.1597594,-0.0535195
11915,-0.1647424,-0.05878507
11940,-0.1715302,-0.06379545
11965,-0.1790386,-0.06664235
11991,-0.1790386,-0.06664235
12015,-0.188877,-0.07309704
12040,-0.188877,-0.07309704
12065,-0.195227,-0.07937028
12090,-0.1987655,-0.08518369
12115,-0.2042737,-0.09319581
12140,-0.2086267,-0.09811161
12165,-0.2086267,-0.09811161
12191,-0.2126423,-0.1039412
12215,-0.2166636,-0.1085999
12240,-0.2201097,-0.1135972
12265,-0.2221356,-0.1186614
12290,-0.2245409,-0.1233805
12315,-0.2245409,-0.1233805
12340,-0.2259532,-0.1279344
12365,-0.22791,-0.1337771
12390,-0.22791,-0.1337771
12415,-0.2289365,-0.1364606
12440,-0.2290708,-0.1366576
12465,-0.2287522,-0.1356247
12490,-0.2262408,-0.1344448
12515,-0.2262408,-0.1344448
12541,-0.2212118,-0.1341807
12565,-0.214022,-0.1350541
12590,-0.2035687,-0.1358815
12615,-0.2035687,-0.1358815
12640,-0.1908642,-0.1363463
12665,-0.1719177,-0.1360159
12690,-0.1719177,-0.1360159
12715,-0.156851,-0.1356865
12740,-0.1403426,-0.1357043
12765,-0.1271268,-0.135958
12790,0.02005734,-0.002933145
12815,0.03399752,0.001509413
12840,0.04113419,-0.00332725
12865,0.04113419,-0.00332725
12890,-0.07899854,-0.1324403
12915,-0.06743473,-0.1284181
12941,-0.05436552,-0.1252832
12965,-0.05436552,-0.1252832
12990,-0.04739949,-0.1239712
13015,-0.04017796,-0.1230837
13040,-0.03142093,-0.1221588
13066,-0.02506456,-0.1210578
13090,-0.01495623,-0.1181327
13115,-0.01495623,-0.1181327
13140,-0.009807752,-0.1155054
13165,-0.002049951,-0.1107037
13190,0.005577143,-0.1058137
13215,0.01085988,-0.1024132
13240,0.01706812,-0.09957062
13265,0.01706812,-0.09957062
13291,0.02563172,-0.09603807
13315,0.03428892,-0.09254521
13340,0.04132757,-0.08968447
13365,0.04970579,-0.08557493
13390,0.05618684,-0.08187254
13415,0.05618684,-0.08187254
13440,0.06552152,-0.07856983
13466,0.07305977,-0.07771921
